date,interval,hour,actual_net_kw,emergency_kw,forecast_00_kw,forecast_06_kw,forecast_12_kw,forecast_18_kw
2025-03-20,0,0.0,3299.0689,0.0,3617.1513999999997,,,
2025-03-20,1,0.16666666666666666,3421.881,0.0,3585.3143,,,
2025-03-20,2,0.3333333333333333,3683.11,168.90000000000055,3514.2099999999996,,,
2025-03-20,3,0.5,3476.7369999999996,0.0,3566.7633,,,
2025-03-20,4,0.6666666666666666,3302.6694999999995,0.0,3529.764,,,
2025-03-20,5,0.8333333333333334,3426.9399999999996,36.34000000000037,3390.5999999999995,,,
2025-03-20,6,1.0,3609.5342999999993,256.6559999999997,3352.8783,,,
2025-03-20,7,1.1666666666666667,3668.9025,359.99700000000007,3308.9055,,,
2025-03-20,8,1.3333333333333333,3589.3,329.2200000000007,3260.0799999999995,,,
2025-03-20,9,1.5,3503.6156999999994,150.15729999999985,3353.4583999999995,,,
2025-03-20,10,1.6666666666666667,3545.9703,0.0,3552.8392,,,
2025-03-20,11,1.8333333333333333,3590.66,0.0,3655.7299999999996,,,
2025-03-20,12,2.0,3395.9017,0.0,3484.6496,,,
2025-03-20,13,2.1666666666666665,3276.7246,0.0,3416.4268999999995,,,
2025-03-20,14,2.3333333333333335,3394.28,0.0,3529.1899999999996,,,
2025-03-20,15,2.5,3587.5594,22.46270000000004,3565.0967,,,
2025-03-20,16,2.6666666666666665,3605.7267999999995,0.0,3662.8512,,,
2025-03-20,17,2.8333333333333335,3522.79,0.0,3749.1399999999994,,,
2025-03-20,18,3.0,3631.2617999999998,54.92739999999958,3576.3344,,,
2025-03-20,19,3.1666666666666665,3731.3543,280.95900000000006,3450.3953,,,
2025-03-20,20,3.3333333333333335,3721.0099999999998,198.6400000000001,3522.37,,,
2025-03-20,21,3.5,3699.7384999999995,68.51049999999987,3631.228,,,
2025-03-20,22,3.6666666666666665,3674.7824999999993,105.3438999999994,3569.4386,,,
2025-03-20,23,3.8333333333333335,3623.58,168.5400000000002,3455.0399999999995,,,
2025-03-20,24,4.0,3538.7677999999996,0.0,3583.9837999999995,,,
2025-03-20,25,4.166666666666667,3488.7842999999993,0.0,3645.8233,,,
2025-03-20,26,4.333333333333333,3513.51,0.0,3577.0699999999997,,,
2025-03-20,27,4.5,3598.3508,0.0,3630.4400999999993,,,
2025-03-20,28,4.666666666666667,3700.4358999999995,0.0,3717.5033999999996,,,
2025-03-20,29,4.833333333333333,3753.57,26.500000000000455,3727.0699999999997,,,
2025-03-20,30,5.0,3716.6034999999997,64.27490000000012,3652.3286,,,
2025-03-20,31,5.166666666666667,3707.0663999999997,79.47949999999992,3627.5869,,,
2025-03-20,32,5.333333333333333,3642.69,16.82000000000039,3625.87,,,
2025-03-20,33,5.5,3452.5804000000007,0.0,3603.0838,,,
2025-03-20,34,5.666666666666667,4028.7786999999994,0.0,4178.7819,,,
2025-03-20,35,5.833333333333333,4962.09,0.0,4976.26,,,
2025-03-20,36,6.0,4751.699600000001,110.52003674944876,4637.076083333333,4641.179563250552,,
2025-03-20,37,6.166666666666667,4259.7799,17.406682672886518,4235.489366666667,4242.373217327114,,
2025-03-20,38,6.333333333333333,4028.2249999999995,0.0,4072.97035,4082.6363908015364,,
2025-03-20,39,6.5,3774.2692000000006,83.7212850560527,3678.0979333333335,3690.547914943948,,
2025-03-20,40,6.666666666666667,3516.9354999999996,198.64177637917237,3303.058116666667,3318.293723620827,,
2025-03-20,41,6.833333333333333,3187.0925,127.98894680307149,3041.0806999999995,3059.1035531969287,,
2025-03-20,42,7.0,2679.4530000000004,0.0,2683.881866666666,2738.240992440898,,
2025-03-20,43,7.166666666666667,2407.449699999999,0.0,2504.155733333334,2594.8526324344666,,
2025-03-20,44,7.333333333333333,2217.4624999999996,0.0,2244.9669,2372.0030164850723,,
2025-03-20,45,7.5,1684.1412,0.0,1564.208266666666,1727.5849900417827,,
2025-03-20,46,7.666666666666667,2007.4684000000002,0.0,1973.375133333333,2173.093800614387,,
2025-03-20,47,7.833333333333333,2929.0775000000003,0.0,2956.2230999999992,3192.284997695555,,
2025-03-20,48,8.0,2896.8230999999996,231.32745064740175,2455.5265333333336,2665.495649352598,,
2025-03-20,49,8.166666666666666,2630.228399999999,592.6255078446138,1853.7253666666652,2037.6028921553855,,
2025-03-20,50,8.333333333333334,2466.9450000000006,499.431118892996,1809.7268,1967.5138811070049,,
2025-03-20,51,8.5,1996.0330999999987,315.3899270896486,1548.9454333333342,1680.6431729103501,,
2025-03-20,52,8.666666666666666,1668.0308,263.0847740960894,1299.3365666666643,1404.9460259039106,,
2025-03-20,53,8.833333333333334,1576.9225000000008,374.3198000000011,1123.0804999999998,1202.6026999999997,,
2025-03-20,54,9.0,1327.7026,408.88009337472386,759.4585500000005,918.8225066252762,,
2025-03-20,55,9.166666666666666,903.1102000000001,231.2154413364433,432.6880999999987,671.8947586635568,,
2025-03-20,56,9.333333333333334,463.1125000000002,0.0,175.15774999999985,494.2080204007675,,
2025-03-20,57,9.5,216.56850000000122,7.543442528028663,-189.86969999999928,209.02505747197256,,
2025-03-20,58,9.666666666666666,247.54409999999916,236.43026318958346,-467.62625000000025,11.113836810415705,,
2025-03-20,59,9.833333333333334,271.2424999999994,382.13127340153414,-669.4749999999999,-110.88877340153476,,
2025-03-20,60,10.0,-97.25250000000005,233.3962871128856,-873.3675333333335,-330.64878711288566,,
2025-03-20,61,10.166666666666666,-328.726799999999,245.92825044943493,-1101.507066666667,-574.6550504494339,,
2025-03-20,62,10.333333333333334,-405.46499999999924,398.7266917574648,-1315.1777000000006,-804.191691757464,,
2025-03-20,63,10.5,-814.2784000000001,270.0171383124425,-1579.4162333333338,-1084.2955383124427,,
2025-03-20,64,10.666666666666666,-1103.019400000001,101.48021635947089,-1683.755666666667,-1204.499616359472,,
2025-03-20,65,10.833333333333334,-983.1000000000008,229.11835115222084,-1675.6103999999996,-1212.2183511522217,,
2025-03-20,66,11.0,-659.6243000000004,684.4895003237007,-1633.292100000001,-1344.113800323701,,
2025-03-20,67,11.166666666666666,-659.0469000000012,981.3203539223059,-1755.3323999999998,-1640.367253922307,,
2025-03-20,68,11.333333333333334,-957.4625000000001,917.6900344464975,-1815.9051,-1875.1525344464976,,
2025-03-20,69,11.5,-1081.6056999999992,775.3943635448268,-1623.540600000002,-1857.000063544826,,
2025-03-20,70,11.666666666666666,-1255.410699999999,740.735862048045,-1588.4756000000016,-1996.146562048044,,
2025-03-20,71,11.833333333333334,-1650.1299999999992,700.09175,-1768.3398,-2350.2217499999992,,
2025-03-20,72,12.0,-2124.1279000000004,0.0,-1623.111716666668,-2492.686630020694,-1754.7063567982595,
2025-03-20,73,12.166666666666666,-2235.340799999999,0.0,-1341.9507333333331,-2499.218137334888,-1693.6742554148186,
2025-03-20,74,12.333333333333334,-1825.7025000000003,0.0,-1051.36655,-2496.3259897996163,-1623.136387353541,
2025-03-20,75,12.5,-1198.9765999999993,429.6484716667155,-836.8883666666677,-2569.539404597346,-1628.6250716667148,
2025-03-20,76,12.666666666666666,-1038.5893999999996,502.3496095808009,-529.3118833333319,-2549.6540982614592,-1540.9390095808005,
2025-03-20,77,12.833333333333334,-1174.42,144.8472889474442,-87.82330000000047,-2395.8562867007677,-1319.2672889474443,
2025-03-20,78,13.0,-828.4533999999999,202.33527185965886,156.08756666666613,-2068.129735223108,-1030.7886718596587,
2025-03-20,79,13.166666666666666,-541.8022999999994,388.1051487729219,212.3329333333345,-1928.0683085580504,-929.9074487729213,
2025-03-20,80,13.333333333333334,-570.7124999999992,328.48919247055846,198.3372999999997,-1858.2475208787318,-899.2016924705576,
2025-03-20,81,13.5,-613.1947,81.73407854600646,357.8457666666666,-1614.9222858228868,-694.9287785460065,
2025-03-20,82,13.666666666666666,-628.7564000000007,42.35468907429231,336.83833333333246,-1552.1126165130722,-671.111089074293,
2025-03-20,83,13.833333333333334,-519.9299999999985,223.618016144781,219.51790000000005,-1585.6156255761116,-743.5480161447795,
2025-03-20,84,14.0,-170.1313999999993,145.95611526049333,699.0794999999985,-1096.527758495186,-316.08751526049264,
2025-03-20,85,14.166666666666666,111.32340000000067,138.2732586090151,1040.264200000001,-745.8164936278195,-26.949858609014427,
