date,interval,hour,actual_net_kw,forecast_net_kw,planned_grid_kw,emergency_kw
2025-03-20,0,0.0,3299.0689,3617.1513999999997,8796.019400000001,0.0
2025-03-20,1,0.16666666666666666,3421.881,3585.3143,8731.9156,0.0
2025-03-20,2,0.3333333333333333,3683.11,3514.2099999999996,3661.3099999999995,21.800000000000637
2025-03-20,3,0.5,3476.7369999999996,3566.7633,3758.1892000000007,0.0
2025-03-20,4,0.6666666666666666,3302.6694999999995,3529.764,3732.7352,0.0
2025-03-20,5,0.8333333333333334,3426.9399999999996,3390.5999999999995,3625.0599999999995,0.0
2025-03-20,6,1.0,3609.5342999999993,3352.8783,3601.2208,8.313499999999294
2025-03-20,7,1.1666666666666667,3668.9025,3308.9055,3482.5741,186.32840000000033
2025-03-20,8,1.3333333333333333,3589.3,3260.0799999999995,3368.0399999999995,221.26000000000067
2025-03-20,9,1.5,3503.6156999999994,3353.4583999999995,3488.7169999999996,14.898699999999963
2025-03-20,10,1.6666666666666667,3545.9703,3552.8392,3641.7391,0.0
2025-03-20,11,1.8333333333333333,3590.66,3655.7299999999996,3812.0199999999995,0.0
2025-03-20,12,2.0,3395.9017,3484.6496,3628.0578000000005,0.0
2025-03-20,13,2.1666666666666665,3276.7246,3416.4268999999995,3520.3035999999993,0.0
2025-03-20,14,2.3333333333333335,3394.28,3529.1899999999996,3664.91,0.0
2025-03-20,15,2.5,3587.5594,3565.0967,3640.8894999999993,0.0
2025-03-20,16,2.6666666666666665,3605.7267999999995,3662.8512,3785.2863000000007,0.0
2025-03-20,17,2.8333333333333335,3522.79,3749.1399999999994,3889.6399999999994,0.0
2025-03-20,18,3.0,3631.2617999999998,3576.3344,3731.6393000000007,0.0
2025-03-20,19,3.1666666666666665,3731.3543,3450.3953,3596.6852,134.66909999999984
2025-03-20,20,3.3333333333333335,3721.0099999999998,3522.37,3573.66,147.34999999999968
2025-03-20,21,3.5,3699.7384999999995,3631.228,3759.1395999999995,0.0
2025-03-20,22,3.6666666666666665,3674.7824999999993,3569.4386,3623.2489,51.533599999999296
2025-03-20,23,3.8333333333333335,3623.58,3455.0399999999995,3634.6799999999994,0.0
2025-03-20,24,4.0,3538.7677999999996,3583.9837999999995,3578.2639,0.0
2025-03-20,25,4.166666666666667,3488.7842999999993,3645.8233,3738.8324999999995,0.0
2025-03-20,26,4.333333333333333,3513.51,3577.0699999999997,3707.0899999999992,0.0
2025-03-20,27,4.5,3598.3508,3630.434399999999,3781.8102,0.0
2025-03-20,28,4.666666666666667,3700.4358999999995,3717.5033999999996,3851.4527,0.0
2025-03-20,29,4.833333333333333,3753.57,3727.0699999999997,3842.8399999999992,0.0
2025-03-20,30,5.0,3716.6034999999997,3652.2488999999996,3780.522499999999,0.0
2025-03-20,31,5.166666666666667,3707.0663999999997,3627.5869,3814.810199999999,0.0
