total_cost_yuan,planned_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_energy_kwh,curtailment_energy_kwh,grid_energy_kwh,minimum_soc_kwh,maximum_soc_kwh,solve_seconds,max_balance_residual_kwh,max_soc_residual_kwh,key,label
16391391.763673106,12354245.50470941,0.0,4037146.2589637,1040382.7999430556,2204342.4057466565,20407209.1675516,1199.9999999999918,10800.000000000007,76.04172140080482,8.199663170671556e-12,7.275957614183426e-12,0_only,0:00
15926257.202825034,12354245.504709408,322397.9022492313,3249613.795866393,841482.1716358734,1940793.463106723,20336368.805569503,1199.9999999999905,10800.000000000005,119.30566059926059,8.199663170671556e-12,7.275957614183426e-12,0_6,0:00/6:00
15753473.502911799,12354245.50470941,436298.0058169883,2962929.992385401,767041.3999509881,1825958.8959246639,20291969.927807488,1199.9999999999932,10800.000000000004,147.07018690009136,8.199663170671556e-12,7.275957614183426e-12,0_6_12,0:00/6:00/12:00
15731687.036632307,12354245.504709408,499519.5632191859,2877921.9687037105,748796.9822188657,1807791.9490014846,20291804.1450797,1199.9999999999936,10800.000000000004,133.3341272987891,8.199663170671556e-12,7.275957614183426e-12,0_6_12_18,0:00/6:00/12:00/18:00
