date,planned_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_energy_kwh,grid_energy_kwh,minimum_soc_kwh,solve_seconds
2025-01-01,49315.4596635349,20716.740031254725,21174.099247917817,91206.29894270745,6207.932793217186,97457.87114143968,1199.9999999999993,0.23859570012427866
2025-01-02,57219.81696920179,7760.487534278353,10800.646650851151,75780.9511543313,3363.320556939004,95983.51025559379,1199.9999999999993,0.2627500999951735
2025-01-03,61772.83072327142,-9685.43501303411,12445.829089578789,64533.2247998161,2103.0649411364743,73415.57329487569,1200.0000000000036,0.3487794999964535
2025-01-04,36238.811908488875,-3378.027117281502,6890.743158776312,39751.52794998368,1763.1382855431575,54317.80313017263,1200.0000000000002,0.34067470009904355
2025-01-05,30734.034743660817,40792.27328459922,53572.67863403193,125098.98666229198,14642.462406944442,89262.53161666666,1200.0000000000002,0.23766250011976808
2025-01-06,55242.211522686106,9279.567888760712,11453.080159902478,75974.8595713493,3418.0500153154408,94519.56848577311,1200.0,0.38311039994005114
2025-01-07,56453.133708838315,10000.052417223356,7742.09069991945,74195.27682598113,2184.8571291666685,98092.9920875,1199.9999999999998,0.1509477999061346
2025-01-08,65343.59505575138,-2047.3019843790967,6154.127672623403,69450.42074399568,1686.0880182900896,94801.88629845675,1200.0000000000007,0.21508849994279444
2025-01-09,60312.77086396028,1714.2117846819792,8374.552140256652,70401.53478889892,2447.6613460281933,95236.73090440007,1200.000000000001,0.3239478998584673
2025-01-10,55683.38154552148,-12321.176161740634,19050.352346661733,62412.55773044258,4492.091490210734,58103.59448325942,1200.0,0.48531400004867464
2025-01-11,25500.979116155064,540.1149834838501,7811.877726893903,33852.97182653282,2062.1896311769883,47929.13380991943,1200.0,0.3558015999151394
2025-01-12,53045.859077475136,9916.805968635193,15666.915583834489,78629.58062994482,4071.5367160082574,93547.57918466828,1200.0000000000005,0.2580726001178846
2025-01-13,61985.92258262777,-716.8322562287469,6375.42050603767,67644.51083243669,1668.8630067584381,94705.71618929313,1200.0000000000018,0.18708560010418296
2025-01-14,60701.9814124133,534.2624046483008,6559.625627545384,67795.86944460699,1871.8516684053393,94504.66551196738,1200.000000000001,0.21372510003857315
2025-01-15,57864.33986160497,4716.493658752343,8085.543150573725,70666.37667093103,1970.0279175667154,94908.89492758818,1200.0000000000016,0.3690175999654457
2025-01-16,57894.460598097896,3061.611581862383,8929.947023020473,69886.01920298075,2276.906959919492,92853.46965067848,1199.999999999999,0.36021480010822415
2025-01-17,24856.465944505,-204.18886345308877,6843.6076587872885,31495.8847398392,1888.4921779412048,46886.052554560316,1200.0000000000027,0.3773467999417335
2025-01-18,26554.03722212024,-440.4048966720573,6341.949123284187,32455.58144873237,1708.4739077522154,48115.274315598755,1200.0000000000018,0.32494630001019686
2025-01-19,57143.580705513144,4402.1651142547125,7338.568116052229,68884.31393582009,1742.9541914731278,93950.26758565806,1200.0,0.20977520011365414
2025-01-20,57976.24086871244,1719.909375247858,7818.359696241563,67514.50994020187,2201.9837498398456,92210.0565129204,1200.0000000000005,0.25780449982266873
2025-01-21,58008.64813111807,376.6701114666113,4378.388346524892,62763.70658910958,1170.697797898882,90351.21411757777,1200.0000000000005,0.38807720004115254
2025-01-22,60363.711765891596,99.00174604186638,5870.560682170531,66333.274194104,1556.175560022063,94398.00811723499,1200.0000000000002,0.2221589998807758
2025-01-23,57983.95470083861,3482.2497868176715,6821.334508044236,68287.53899570051,2054.1510211887626,94136.51102588311,1200.0000000000011,0.29543779988307506
2025-01-24,21892.69721869508,1893.5444090894853,5915.637826274089,29701.879454058653,1665.3503862381635,44481.099025566196,1200.0,0.3707027999917045
2025-01-25,21818.513138055,2454.024000398175,4855.796595515332,29128.33373396851,1213.5198801313866,44401.628106007855,1200.0000000000007,0.33416389988269657
2025-01-26,61907.690779954835,-548.924585350798,5406.575618011309,66765.34181261534,1555.5068523439104,93690.35011469478,1200.0000000000005,0.200378300040029
2025-01-27,54793.80614204063,2867.055567423342,7059.762108756611,64720.623818220585,1886.571964248942,88828.21160498812,1200.0000000000007,0.20709690020885319
2025-01-28,57982.17358882749,840.3435582941893,7552.059903676194,66374.57705079787,1978.830545793274,91513.69945732261,1200.0000000000005,0.2811247000936419
2025-01-29,53351.39837560568,3499.0510426615065,6401.342094110388,63251.791512377575,1576.048209913834,87164.42122166818,1200.0000000000007,0.33796649996656924
2025-01-30,53989.912799488244,4278.91085174695,6098.722632616291,64367.54628385149,1373.2456127402997,89714.18814270812,1199.9999999999993,0.27874639991205186
2025-01-31,20878.21609547528,2273.0352934518273,7275.76848373963,30427.019872666737,1776.03015159711,43631.89811659509,1200.0,0.34768509992863983
2025-02-01,22280.616021294616,-116.3787837840111,5635.5462691401135,27799.783506650718,1255.0123222307575,41461.32415552441,1200.0000000000011,0.40467690012883395
2025-02-02,56044.57009231663,-1660.7679055648032,4686.1413192409245,59069.94350599275,1104.1171810410144,84928.22491292338,1200.0,0.2816270000766963
2025-02-03,57155.830856378845,-1981.620242064039,8653.313463503007,63827.52407781781,1981.225462315585,85027.07685973472,1200.0000000000014,0.3845263000112027
2025-02-04,59670.08443506087,-2712.519305362104,8346.785314947623,65304.350444646385,1990.3026370118846,87231.69639956532,1200.0000000000011,0.19020360021386296
2025-02-05,55174.015430272615,113.92221718472183,7745.90449854573,63033.842146003066,1644.119204986966,86590.02032783107,1200.0000000000005,0.33175050001591444
2025-02-06,59848.94621076527,-2981.637900859499,7646.689090563241,64513.997400469016,1844.730755923263,85709.57289643916,1200.0,0.21292190009262413
2025-02-07,22651.94556971234,-1490.0334652093052,7341.107541568443,28503.01964607148,1540.7079564232158,38946.65330707774,1200.0,0.44056309992447495
2025-02-08,17878.264090168734,1119.6430662158418,7194.313184674547,26192.220341059125,1767.9386611246027,35495.765890882336,1200.0,0.43093650008086115
2025-02-09,54141.508858469104,995.0396423911059,4549.672754871165,59686.221255731376,1135.4179745776528,86365.57616778757,1199.9999999999995,0.41469789994880557
2025-02-10,51503.92569607617,-21.407954412617617,6885.427070229246,58367.944811892805,1927.55864354081,78582.4069179226,1200.0000000000011,0.3569744999986142
2025-02-11,51663.869517065774,-1607.0727244593045,9566.44335271719,59623.24014532365,2177.142011265859,78584.83052502843,1199.9999999999998,0.29160110000520945
2025-02-12,51811.36986101345,-1727.1000694534293,10971.995889679773,61056.26568123979,2581.009379591288,78225.74879117841,1200.000000000001,0.2545407001161948
2025-02-13,48000.365206492555,217.3886438200592,8253.100584065985,56470.8544343786,1911.9362340832681,76070.93411028215,1200.0,0.2622554999543354
2025-02-14,17636.490575205476,697.7257373985578,6161.95095185778,24496.167264461816,1605.1584012433188,34680.02584346746,1199.9999999999998,0.5628290001768619
2025-02-15,17770.26885278579,788.1442202392889,8706.269474211771,27264.68254723685,2349.989868962245,34507.57054193363,1200.0,0.6455327001167461
2025-02-16,53115.73618284781,-2101.156792688133,12605.641420504602,63620.22081066428,3177.9282253403253,79589.66058191322,1199.999999999998,0.41961959993932396
2025-02-17,51563.1814413686,-2673.2817409858517,9631.870805340179,58521.770505722925,2376.2826311704503,74926.87703647313,1200.0,0.23898139991797507
2025-02-18,46135.152170099755,2340.9583125676054,7160.856127745516,55636.96661041288,1801.086879785926,77350.86302881641,1200.0000000000002,0.2907989998348057
2025-02-19,46297.44311828232,1161.3514110002025,9281.132343503949,56739.92687278647,2571.5175144916293,76030.12848018322,1200.000000000001,0.35688249999657273
2025-02-20,47671.35117711917,-97.98950195781538,8971.562328671565,56544.924003832915,2181.3260974617556,74952.94587157917,1200.0000000000014,0.36071450007148087
2025-02-21,16607.97502686178,410.96754773488567,5344.116436526156,22363.059011122823,1485.7474064930188,32722.540702045542,1200.0,0.29691759985871613
2025-02-22,17296.08295727474,237.48420354707912,7266.057875018785,24799.625035840603,1796.4437216937788,33037.441177594694,1200.0,0.3773572000209242
2025-02-23,48493.89913281865,-701.1138248398975,9600.410858802468,57393.19616678122,2533.637357800222,77079.92690232124,1200.0000000000043,0.2778233998687938
2025-02-24,45709.95904915122,269.0317966032702,7165.65274393815,53144.64358969264,1609.7977798177565,74020.92512513124,1200.0000000000005,0.35307339997962117
