date,q42_total_cost_yuan,q42_planned_cost_yuan,q42_adjustment_cost_yuan,q42_emergency_cost_yuan,q42_emergency_energy_kwh,q42_minimum_soc_kwh,q43_total_cost_yuan,q43_planned_cost_yuan,q43_adjustment_cost_yuan,q43_emergency_cost_yuan,q43_emergency_energy_kwh,q43_minimum_soc_kwh,pi42_total_cost_yuan,pi42_planned_cost_yuan,pi42_adjustment_cost_yuan,pi42_emergency_cost_yuan,pi42_emergency_energy_kwh,pi42_minimum_soc_kwh,pi43_total_cost_yuan,pi43_planned_cost_yuan,pi43_adjustment_cost_yuan,pi43_emergency_cost_yuan,pi43_emergency_energy_kwh,pi43_minimum_soc_kwh
2025-01-01,232977.43060198182,40890.47157165683,0.0,192086.95903032497,36514.41488333333,1200.0,110322.25952455556,58248.659560538465,25367.540536729037,26706.059427288055,6207.932793217186,1199.9999999999993,231620.95608463825,39533.99705431328,0.0,192086.95903032497,36514.41488333333,1200.0,109402.72124637457,57211.81016015673,25484.851658929776,26706.05942728806,6207.932793217187,1199.999999999998
2025-01-02,111958.31572322431,110793.5500136993,0.0,1164.7657095249988,374.87281666666615,1200.0,90681.71188483606,67686.92982950964,9217.091681080543,13777.690374245869,3363.320556939004,1199.9999999999993,110251.3477005997,109086.5819910747,0.0,1164.7657095249979,374.8728166666659,1200.0,90297.2429957017,67311.25221696786,9208.30040448798,13777.690374245869,3363.320556939004,1200.0
2025-01-03,86371.14068400291,86371.14068400291,0.0,0.0,0.0,1200.0,59613.791991611564,56840.00756130018,-9088.784939500532,11862.569369811912,2103.0649411364743,1200.0,88263.0354095173,88263.0354095173,0.0,0.0,0.0,1200.0,60328.74564263601,57437.65913610455,-8971.48286328045,11862.569369811907,2103.0649411364734,1200.0000000000007
2025-01-04,49604.874199656835,48998.05375088184,0.0,606.8204487750006,170.2078000000003,1200.0,36450.26714621456,32940.579315898605,-2907.227289756584,6416.915120072538,1763.1382855431575,1200.0,49954.47216978312,49347.65172100812,0.0,606.8204487750006,170.2078000000003,1200.0,34290.2474424372,30857.948912289386,-2984.61658992473,6416.915120072538,1763.138285543158,1200.0000000000002
2025-01-05,124725.45556314627,63590.60949156295,0.0,61134.84607158333,12280.657483333332,1200.0,150884.82285200336,35112.96187151364,47884.2969904005,67887.56399008923,14642.462406944442,1200.0000000000002,123588.86466706723,62454.0185954839,0.0,61134.84607158333,12280.657483333332,1200.0,152861.19032375497,37312.22480539954,47661.40152826619,67887.56399008923,14642.462406944444,1200.0000000000002
2025-01-06,110684.96476880324,110662.33379511158,0.0,22.63097369166598,10.363716666666505,1200.0,92348.75808972839,66522.79996171374,10856.944794008356,14969.013334006298,3418.050015315439,1200.0,109487.43671101992,109464.80573732826,0.0,22.63097369166598,10.363716666666505,1200.0,91052.46815592005,64901.77248107607,11181.682340837686,14969.013334006304,3418.05001531544,1200.0000000000005
2025-01-07,108236.35335091554,108184.49776401554,0.0,51.85558690000058,7.187600000000089,1200.0,89767.32427847593,67223.05844872334,12677.469092519934,9866.79673723265,2184.8571291666685,1200.0000000000005,106937.52260461546,106885.66701771546,0.0,51.85558690000058,7.187600000000089,1200.0,87626.89378779361,65002.30161680045,12757.795433760508,9866.796737232646,2184.8571291666676,1199.9999999999998
2025-01-08,107085.643469278,106685.33748524467,0.0,400.30598403333465,74.53541666666706,1200.0,80718.03376891863,76330.45263264792,-2772.8793871276125,7160.460523398315,1686.0880182900898,1200.0000000000002,108838.76191415213,108438.4559301188,0.0,400.30598403333465,74.53541666666706,1200.0,82780.04446282715,78372.17963439321,-2752.5956949643723,7160.460523398316,1686.08801829009,1200.0000000000002
2025-01-09,107285.35514674548,106918.19340975382,0.0,367.16173699166757,149.8513833333335,1200.0,85029.89510344587,72215.8606019899,2195.360759123989,10618.673742331983,2447.661346028194,1200.0,103805.61268648884,103438.45094949717,0.0,367.1617369916678,149.85138333333362,1200.0,84761.67228716394,71970.4275435052,2172.5710013267653,10618.673742331976,2447.6613460281933,1200.000000000001
2025-01-10,83056.75966074632,83056.75966074632,0.0,0.0,0.0,1200.0,57786.10709616526,51440.66254498831,-11330.79337600918,17676.237927186132,4492.091490210734,1200.0000000000005,83583.79738800859,83583.79738800859,0.0,0.0,0.0,1200.0,55252.16582751683,48964.43621775166,-11388.508317420958,17676.237927186132,4492.091490210734,1200.0
2025-01-11,34659.84356734162,33657.462382024954,0.0,1002.381185316666,387.1706166666662,1200.0,28956.880490547668,20675.860072576907,437.1645481195487,7843.855869851213,2062.189631176988,1200.0,36972.0420396363,35968.06463855296,0.0,1003.9774010833332,390.3260999999996,1200.0,30789.19526944334,22484.870095812537,460.4693037795864,7843.855869851213,2062.189631176988,1200.0
2025-01-12,196773.91950873856,45501.40931876356,0.0,151272.510189975,30966.222066666665,1200.0,96091.13121872721,65096.673946398,11739.911743257866,19254.545529071343,4071.5367160082574,1200.0000000000005,189707.10051386227,42871.55634415214,0.0,146835.54416971013,30347.933079012342,1200.0,93945.02182003048,62929.53928190425,11760.937009054882,19254.545529071347,4071.536716008258,1200.0
2025-01-13,106063.5283891071,105494.6507695821,0.0,568.8776195250005,136.96245000000022,1200.0,79594.02480879253,73126.65511298762,-931.1338172174429,7398.50351302235,1668.8630067584386,1200.0,105072.6275892076,104503.7499696826,0.0,568.8776195250005,136.96245000000022,1200.0,79371.37342007089,72911.06482876965,-938.1949217211254,7398.50351302235,1668.8630067584386,1200.0000000000018
2025-01-14,101510.43737537242,101510.43737537242,0.0,0.0,0.0,1200.0,78288.76448438331,70001.33249953057,653.0593554635012,7634.372629389238,1871.8516684053416,1200.000000000001,103091.53607975281,103091.53607975281,0.0,0.0,0.0,1200.0,78810.92219394617,70528.1041809351,648.4453836218338,7634.372629389238,1871.8516684053411,1199.999999999999
2025-01-15,106028.38579188472,106005.42782276805,0.0,22.957969116666572,4.400549999999953,1200.0,85516.58664168927,69610.68799291692,6010.617121739226,9895.281527033118,1970.027917566717,1200.0000000000025,104829.23596716834,104806.27799805166,0.0,22.957969116666572,4.400549999999953,1200.0,84241.39760918621,68330.59230771475,6015.523774438363,9895.281527033107,1970.027917566715,1200.0000000000016
2025-01-16,84823.63262187666,83825.51312119333,0.0,998.1195006833343,241.26943333333338,1200.0,83008.19566726801,68070.76485840027,3812.513326685971,11124.917482181752,2276.906959919492,1200.0000000000014,80934.78869067006,79938.75478583672,0.0,996.0339048333342,240.42948333333356,1200.0,83094.29868772812,68138.13550229839,3831.245703247973,11124.917482181754,2276.9069599194927,1200.0
2025-01-17,63751.363350438594,63751.363350438594,0.0,0.0,0.0,1200.0,28111.90729590886,21736.57822838611,-178.12022850281014,6553.4492960255575,1888.4921779412052,1200.0000000000027,65006.382064154976,65006.382064154976,0.0,0.0,0.0,1200.0,27572.95996589702,21198.988500745,-179.4778308735422,6553.449296025558,1888.492177941205,1200.0000000000027
2025-01-18,33202.11822422197,31797.663349221977,0.0,1404.454874999998,562.3363999999995,1200.0,28754.217125785563,23201.337123181598,-464.2563071043445,6017.136309708309,1708.473907752215,1200.000000000001,34543.5230426924,33139.06816769241,0.0,1404.454874999998,562.3363999999995,1200.0,29105.165535218715,23565.57628024771,-477.5470547373026,6017.13630970831,1708.4739077522152,1200.000000000001
2025-01-19,193451.66372595372,42156.72967641,0.0,151294.93404954372,30092.409720833333,1200.0,82212.21665734553,67864.2582824456,5729.733585257197,8618.224789642727,1742.9541914731285,1199.9999999999998,187393.64858068503,39420.68913711001,0.0,147972.959443575,29584.02766666667,1200.0,80457.97992918102,66038.62196150151,5801.133178036771,8618.224789642727,1742.954191473128,1199.9999999999986
2025-01-20,101650.06182980273,101650.06182980273,0.0,0.0,0.0,1200.0,78820.00094658439,66862.02790608432,2195.8527146792867,9762.120325820779,2201.9837498398456,1200.0000000000002,102798.46854250497,102798.46854250497,0.0,0.0,0.0,1200.0,80177.9567578964,68245.61136089989,2170.225071175742,9762.120325820782,2201.9837498398456,1200.0000000000007
2025-01-21,80007.24268738764,79899.65541614598,0.0,107.58727124166552,21.875966666666272,1200.0,71427.71020412726,65959.64045093708,374.3266784294575,5093.743074760733,1170.6977978988816,1200.0000000000005,80627.36834681568,80519.78107557402,0.0,107.58727124166577,21.875966666666386,1200.0,71469.67449040747,66188.83264443089,187.0987712158542,5093.743074760733,1170.6977978988816,1200.0000000000005
2025-01-22,83938.9108204626,77971.3112261876,0.0,5967.599594274998,1474.7664333333332,1200.0,78608.6820477458,71589.21318855655,139.1696455176614,6880.2992136715875,1556.175560022063,1199.9999999999998,82693.97864877834,76726.37905450334,0.0,5967.599594274998,1474.7664333333332,1200.0,77624.49321438491,70614.37355208345,129.82044862987826,6880.299213671584,1556.1755600220622,1199.9999999999984
2025-01-23,83478.6268214709,82763.99292001256,0.0,714.6339014583397,150.9278500000011,1200.0,82747.35231075351,69379.33990889919,4461.922432230068,8906.089969624254,2054.1510211887635,1200.0,79826.3611361443,79111.72723468597,0.0,714.6339014583392,150.92785000000094,1200.0,81570.30572691774,67912.67500380083,4751.54075349265,8906.089969624252,2054.1510211887626,1200.0000000000016
2025-01-24,61100.40760961543,61100.40760961543,0.0,0.0,0.0,1200.0,25095.138464811436,18046.712138385235,1613.6097060632726,5434.81662036293,1665.350386238163,1200.0,63020.778501818335,63020.778501818335,0.0,0.0,0.0,1200.0,25612.2980228951,18539.234088958838,1638.2473135733323,5434.816620362932,1665.3503862381635,1200.0
2025-01-25,29359.810510975967,28977.37647457597,0.0,382.4340363999997,144.6987999999999,1200.0,25583.046796444396,18858.093754665555,2108.4352147943855,4616.517826984456,1213.5198801313866,1200.0000000000007,29625.656288054997,29243.222251655,0.0,382.4340363999997,144.6987999999999,1200.0,24395.128881447323,17777.93116174683,2000.6798927160382,4616.517826984456,1213.5198801313863,1200.0000000000007
2025-01-26,206971.14625140428,36209.04843571262,0.0,170762.09781569167,34748.3463,1200.0,79205.050356062,73558.98584358726,-831.5215362317665,6477.586048706511,1555.5068523439102,1200.0,203488.31783555896,35384.51984654229,0.0,168103.79798901666,34346.78418333333,1200.0,79410.41099260695,73762.3820748814,-829.5571309809662,6477.586048706512,1555.5068523439104,1200.0
2025-01-27,80910.29587239584,80708.36128958751,0.0,201.93458280833454,74.65200000000027,1200.0,74258.63299944415,62183.48958251933,3596.9902607005824,8478.153156224223,1886.5719642489416,1200.0000000000011,80266.35133090927,80064.41674810094,0.0,201.93458280833454,74.65200000000027,1200.0,74457.19006793595,62022.06311429638,3956.973797415347,8478.153156224222,1886.5719642489416,1200.0000000000014
2025-01-28,76816.058580975,75759.87398755,0.0,1056.1845934249993,191.89646666666658,1200.0,76311.69355301991,66346.42097512323,972.0296227169658,8993.24295517973,1978.8305457932759,1199.9999999999998,77623.04475250568,76761.41831241401,0.0,861.6264400916652,163.26813333333314,1200.0,77410.6915246011,67454.4139095673,963.0346598540751,8993.24295517973,1978.8305457932759,1199.9999999999998
2025-01-29,78972.93357614434,78845.13139045268,0.0,127.80218569166729,51.158966666666856,1200.0,72914.24048617744,61172.11195969804,4179.876068915966,7562.252457563429,1576.0482099138342,1200.0000000000016,76275.05146613653,76147.24928044487,0.0,127.80218569166755,51.15896666666697,1200.0,70874.6360097544,59164.19151744252,4148.192034748437,7562.252457563428,1576.0482099138342,1200.0000000000014
2025-01-30,72278.34394519332,71638.09216415166,0.0,640.2517810416557,95.85749999999825,1200.0,73970.46658128589,61618.7252797057,5191.13218631841,7160.60911526178,1373.2456127403018,1200.0,70568.32830572517,69928.0765246835,0.0,640.2517810416557,95.85749999999825,1200.0,74148.63567260985,61771.49088904039,5216.535668307686,7160.609115261771,1373.2456127402997,1200.0000000000005
2025-01-31,56276.16057205445,56276.16057205445,0.0,0.0,0.0,1200.0,26078.255826196793,17157.932038665844,2098.784309268835,6821.539478262117,1776.0301515971098,1200.0000000000018,58239.291899645,58239.291899645,0.0,0.0,0.0,1200.0,27670.87426066645,18824.726055882315,2024.6087265220165,6821.539478262118,1776.03015159711,1200.0
2025-02-01,26560.830852301908,26476.35744230191,0.0,84.47341000000007,19.241666666666788,1200.0,23198.062092497345,18623.974125325396,3.8677472352373883,4570.220219936712,1211.9073068552748,1200.0000000000011,26216.47290164992,26091.849486649917,0.0,124.62341500000043,26.29666666666685,1200.0,21016.22528491624,16152.053542981037,-121.94537943224553,4986.117121367448,1297.20991014241,1200.0000000000011
2025-02-02,72998.4734030201,72927.37101135345,0.0,71.10239166666608,28.891666666666424,1200.0,65274.13895996477,62053.54054751956,-1936.502949795369,5157.101362240573,1104.1171810410142,1200.0000000000027,69283.68366094833,69212.58126928167,0.0,71.10239166666663,28.89166666666665,1200.0,65824.70251206738,62589.6325214025,-1922.031371575697,5157.101362240577,1104.1171810410146,1200.0
2025-02-03,70062.92420142332,70034.96980000666,0.0,27.954401416667487,6.969083333333515,1200.0,71820.82959155826,64332.91211890574,-2381.5081005867414,9869.425573239252,1981.2254623155854,1200.0000000000014,70052.0792086232,70024.12480720654,0.0,27.954401416667487,6.969083333333515,1200.0,70920.26571953806,63440.52560172632,-2389.6854554274987,9869.425573239245,1981.2254623155845,1200.000000000001
2025-02-04,72567.32411244961,72345.79859662462,0.0,221.52551582499993,99.87078333333329,1200.0,74208.092582071,67903.39825969792,-3154.1442107045127,9458.838533077598,1990.3026370118832,1200.0000000000005,70344.61430196831,70123.08878614331,0.0,221.52551582500018,99.8707833333334,1200.0,72334.04556777641,66026.31513108368,-3151.108096384876,9458.838533077602,1990.3026370118837,1200.000000000002
2025-02-05,67450.93560143333,66764.03291661666,0.0,686.902684816665,123.8258333333331,1200.0,71104.91890986844,62340.6010981545,271.22892750844187,8493.088884205512,1644.1192049869676,1200.0000000000007,68043.84833450295,67372.36138631128,0.0,671.486948191664,121.23908333333293,1200.0,71692.58165298255,63120.98898822857,78.50378054846783,8493.088884205508,1644.1192049869671,1200.0
2025-02-06,68752.52735376365,68333.00953248865,0.0,419.51782127499996,118.22384999999986,1200.0,72253.12030304359,67173.02123206697,-3635.903113493091,8716.002184469717,1844.7307559232627,1199.9999999999998,66111.49345253667,65691.97563126167,0.0,419.5178212749987,118.22384999999952,1200.0,72903.19527254478,67783.09397585888,-3595.9008877838223,8716.002184469713,1844.7307559232622,1200.0
2025-02-07,23038.06260299222,22828.63954874222,0.0,209.42305425000077,39.85848333333348,1200.0,24022.22074847153,19297.16640446113,-1086.1867094607992,5811.241053471196,1444.3065565561737,1200.0,22545.46638075718,22341.419024840514,0.0,204.04735591666636,38.872116666666614,1200.0,22006.135899177974,16931.922463886393,-1159.2637745359368,6233.47720982752,1547.4456845730347,1200.0
2025-02-08,18707.610463794263,18432.02126089426,0.0,275.5892029000036,70.3585833333338,1200.0,19859.632417356603,12805.092146631945,944.0816075340375,6110.45866319062,1767.9386611246023,1200.0,22567.501768312784,22301.801542079447,0.0,265.70022623333836,68.00025000000079,1200.0,21564.345193663376,14679.028650727909,944.8531962293418,5940.463346706125,1682.6430274787492,1200.0
2025-02-09,66362.626434685,64090.20035251,0.0,2272.426082174996,577.781499999999,1200.0,66888.64989047311,60794.97524301971,1138.6227641513537,4955.051883302052,1135.4179745776553,1200.0000000000005,63179.96497741486,60874.035185656525,0.0,2305.929791758331,582.4076666666659,1200.0,66081.4519677957,60004.78383095133,1121.6162535422982,4955.051883302074,1135.4179745776596,1200.000000000001
2025-02-10,64151.53636192088,63707.81619902088,0.0,443.7201629000009,142.83466666666698,1200.0,64001.965325268415,56370.00622109561,37.31030517275015,7594.648799000054,1927.5586435408097,1200.0000000000005,63769.44202824388,63439.72352666888,0.0,329.7185015750006,116.56688333333352,1200.0,62720.06340941252,55136.768541081634,-11.35393066916991,7594.648799000054,1927.5586435408095,1200.0000000000002
2025-02-11,63544.190234419446,62900.59848768611,0.0,643.591746733335,118.55690000000038,1200.0,63681.817038199166,55117.935140631445,-1797.5938017179124,10361.475699285631,2177.1420112658598,1199.9999999999998,63044.60164997679,62504.72437995178,0.0,539.8772700250024,102.54216666666719,1200.0,65123.83396038297,56407.840744584246,-1645.4824834868978,10361.47569928563,2177.1420112658598,1199.9999999999998
2025-02-12,64829.830792083194,64621.18118930819,0.0,208.6496027750013,53.74093333333349,1200.0,67958.33741557368,57675.75023522854,-2027.7891321351947,12310.37631248034,2581.0093795912867,1200.0,64009.309102216655,63800.65949944165,0.0,208.6496027750013,53.74093333333349,1200.0,65661.87443955045,55378.23128530738,-2026.73315823728,12310.376312480348,2581.009379591288,1200.000000000001
2025-02-13,63446.48645568667,62772.676585595,0.0,673.8098700916638,155.91948333333278,1200.0,61171.90783397256,52312.745565093916,197.08585717352696,8662.076411705115,1911.9362340832688,1199.9999999999995,60298.23723783715,59728.56679804549,0.0,569.670439791665,139.73871666666628,1200.0,60465.20405427062,51586.077420803114,217.05022176239615,8662.076411705115,1911.9362340832686,1200.0
2025-02-14,20004.429389951663,19118.699249734997,0.0,885.7301402166675,389.1598833333338,1200.0,19073.778565500586,13396.025097866863,553.0174496824021,5124.736017951323,1588.8032379697881,1199.9999999999982,22164.88162316685,21279.151482950183,0.0,885.730140216667,389.15988333333354,1200.0,20446.819081530142,14417.633448855002,552.9335390658979,5476.252093609241,1668.8088363207657,1200.0
2025-02-15,20596.538572441663,19605.417099241666,0.0,991.1214731999983,436.94349999999906,1200.0,23741.71387653911,15854.57505243046,637.5738425126881,7249.564981595961,2349.989868962245,1200.0,20883.812965896668,19944.345426613338,0.0,939.4675392833319,411.80569999999926,1200.0,22157.85153610348,14264.958656680832,643.3991884024284,7249.49369102022,2348.1631682833395,1200.0
2025-02-16,63144.28949931241,62388.05623492907,0.0,756.2332643833336,215.61036666666712,1200.0,69684.03224680913,57849.96727496899,-2521.1801948506773,14355.245166690813,3177.9282253403253,1199.9999999999998,60918.58219995166,60162.34893556833,0.0,756.2332643833329,215.61036666666678,1200.0,69415.25995096493,57578.5680320541,-2518.5532477799866,14355.245166690813,3177.9282253403253,1199.9999999999995
2025-02-17,57256.23436642832,56756.12583256165,0.0,500.10853386666827,115.98188333333337,1200.0,63053.48830887618,55720.508924771944,-3135.208756649757,10468.188140753991,2376.2826311704493,1200.0,56660.279355670114,56182.81972848678,0.0,477.45962718333493,112.49690000000032,1200.0,63974.27877789394,56688.40428155525,-3182.3136444153033,10468.188140753995,2376.28263117045,1200.0
2025-02-18,58638.54541959877,58133.2332676821,0.0,505.3121519166665,141.54368333333332,1200.0,60426.70898299469,49784.51696359944,2730.9918240373777,7911.200195357873,1801.0868797859243,1200.0000000000002,58276.10378109293,57759.58591750959,0.0,516.5178635833341,142.96701666666684,1200.0,58395.560890178225,47779.827683985684,2704.5330108346593,7911.200195357879,1801.0868797859264,1200.0000000000002
2025-02-19,57923.6902099471,57117.40903401376,0.0,806.281175933333,296.9205333333332,1200.0,60416.941262996086,48980.72413028129,1328.3448280094117,10107.872304705388,2571.5175144916293,1199.9999999999998,57936.58287209985,57130.30169616651,0.0,806.2811759333324,296.92053333333297,1200.0,60213.64784139658,48784.666174069614,1321.1093626215822,10107.87230470539,2571.5175144916298,1200.000000000001
2025-02-20,58269.226099638574,55128.48838975524,0.0,3140.7377098833317,764.3614166666663,1200.0,62118.564329441855,52243.852341253325,-222.49598183624047,10097.207970024767,2181.326097461754,1200.0000000000014,55443.17464405125,52577.21537690959,0.0,2865.959267141663,712.5243499999991,1200.0,62587.07569434453,52712.18862099404,-222.32089667428534,10097.207970024774,2181.326097461756,1200.0000000000005
2025-02-21,18445.64845537333,18016.49551432333,0.0,429.15294105000004,148.80273333333344,1200.0,19321.310387063742,14404.637819271913,341.9274797350546,4574.745088056774,1535.645056209989,1200.0,19317.644872856665,18888.491931806664,0.0,429.15294104999975,148.80273333333326,1200.0,17596.15612252407,12731.559326134444,343.2791432542541,4521.317653135372,1496.3890423074154,1200.0
2025-02-22,18540.082090883334,17788.690131341667,0.0,751.3919595416677,236.24511666666717,1200.0,20397.571807077038,14056.666104674165,197.24787486910105,6143.657827533774,1803.4686238691274,1200.0,21104.66078250722,20330.570471298888,0.0,774.0903112083338,247.54345000000023,1200.0,20816.27142071849,14509.682909575029,197.38483783899295,6109.20367330447,1796.4437216937704,1200.0
2025-02-23,58732.774757992964,57509.03731564296,0.0,1223.7374423499996,368.8343833333331,1200.0,61586.88125917017,51711.22269888798,-749.560329147155,10625.218889429347,2533.637357800224,1199.9999999999995,55672.35969367334,54448.62225132334,0.0,1223.7374423499991,368.8343833333329,1200.0,60847.07324559457,50994.475919063276,-772.621562898048,10625.21888942934,2533.637357800222,1200.0
2025-02-24,55224.51035434791,54459.05655907291,0.0,765.453795275002,181.0435333333337,1200.0,58070.487755687325,49868.37158649188,323.95697940973616,7878.159189785714,1609.797779817756,1199.9999999999995,53829.61440325722,53176.138160482216,0.0,653.4762427750004,157.8285333333332,1200.0,56605.82708333678,48388.37890484606,339.2889887050062,7878.159189785712,1609.7977798177558,1200.0000000000005
